Retrieval_System | queryId | docId | score | p@5
bm_25_baseline | 1 | CACM-1506 | 14.275999394970945 | 0.4
bm_25_baseline | 2 | CACM-2434 | 11.03791371806619 | 0.4
bm_25_baseline | 3 | CACM-2579 | 7.754008689203324 | 0.0
bm_25_baseline | 4 | CACM-2314 | 27.036413116860516 | 0.2
bm_25_baseline | 5 | CACM-1699 | 19.121519721660754 | 0.2
bm_25_baseline | 6 | CACM-2826 | 15.427300609395417 | 0.2
bm_25_baseline | 7 | CACM-2865 | 24.4978949024837 | 0.8
bm_25_baseline | 8 | CACM-2522 | 15.077418811004343 | 0.2
bm_25_baseline | 9 | CACM-3158 | 14.149545305198167 | 0.2
bm_25_baseline | 10 | CACM-1536 | 8.232112006002012 | 0.6
bm_25_baseline | 11 | CACM-1923 | 11.45162005550888 | 0.6
bm_25_baseline | 12 | CACM-3068 | 6.162113972068706 | 0.4
bm_25_baseline | 13 | CACM-1795 | 8.354062967157413 | 0.4
bm_25_baseline | 14 | CACM-3164 | 12.075468449422768 | 0.0
bm_25_baseline | 15 | CACM-2877 | 14.458803752463304 | 0.2
bm_25_baseline | 16 | CACM-3141 | 15.157855332592561 | 0.4
bm_25_baseline | 17 | CACM-1134 | 8.76775037438521 | 0.6
bm_25_baseline | 18 | CACM-2112 | 11.468568609755344 | 0.0
bm_25_baseline | 19 | CACM-3156 | 6.57032963583477 | 0.8
bm_25_baseline | 20 | CACM-1457 | 9.383152095994081 | 0.4
bm_25_baseline | 21 | CACM-2837 | 10.248329224052904 | 0.0
bm_25_baseline | 22 | CACM-1978 | 13.1485234392436 | 0.2
bm_25_baseline | 23 | CACM-3137 | 8.253001787035549 | 0.6
bm_25_baseline | 24 | CACM-3120 | 6.414346442102538 | 0.0
bm_25_baseline | 25 | CACM-2319 | 9.986450981205895 | 0.4
bm_25_baseline | 26 | CACM-1677 | 9.786127929048483 | 0.2
bm_25_baseline | 27 | CACM-2319 | 11.338133468004582 | 0.4
bm_25_baseline | 28 | CACM-0616 | 22.616539484703594 | 0.4
bm_25_baseline | 29 | CACM-3131 | 10.476828015861578 | 0.2
bm_25_baseline | 30 | CACM-2871 | 11.347668184026315 | 0.2
bm_25_baseline | 31 | CACM-2051 | 27.456313044543073 | 0.0
