query_id Q0 doc_id rank Retrieval_Score system_name
13 Q0 CACM-2491 1 7.546447053144527 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-3054 2 7.526989858267138 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2645 3 4.594388595384647 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0267 4 4.544793510891206 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0149 5 4.395346418499334 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-3129 6 4.389446076592014 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0066 7 4.357829240635447 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2950 8 4.334002996258303 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1362 9 4.287738322607931 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0048 10 4.278017907326664 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0797 11 4.26207431194198 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1204 12 4.261652112275478 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1757 13 4.259385537169992 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1231 14 4.253031142978195 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2078 15 4.242002604570238 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1289 16 4.230045157674405 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1414 17 4.214220899298507 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1064 18 4.214220899298507 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1275 19 4.136924890511081 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2616 20 4.131478825127085 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0164 21 4.0987031335872794 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1655 22 4.093473650297759 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1066 23 4.084541933599896 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1065 24 4.077169408356073 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-0117 25 4.07551617809763 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2964 26 4.066251689930468 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1331 27 4.066093593774915 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2586 28 4.062505391543488 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2508 29 4.052854696384407 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1969 30 4.03802740662199 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2262 31 4.005653133909561 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2290 32 3.9905564158561733 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-2411 33 3.9643921326543454 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-3110 34 3.960601605905991 BM25_Best_Match_With_Proximity_3_CS6200
13 Q0 CACM-1756 35 3.920391364976692 BM25_Best_Match_With_Proximity_3_CS6200
